jahr,monat,tag,,blau,blau,gelb,gelb,bio,bio,sack,kleider
2016,7,11,Mo,,,1,2,,10,4,6
2016,7,12,Di,,,3,,11,12,10,
2016,7,13,Mi,,,8,9,,13,11,12
2016,7,14,Do,,,5,,14,15,13,
2016,7,15,Fr,,,4,6,,16,14,15
2016,7,18,Mo,,,10,,1,2,,16
2016,7,19,Di,,,11,12,,3,1,2
2016,7,20,Mi,,,13,,8,9,,3
2016,7,21,Do,,,14,15,,5,9,8
2016,7,22,Fr,,,16,,4,6,,5
2016,7,25,Mo,1,2,,,,10,6,4
2016,7,26,Di,3,,,,11,12,,10
2016,7,27,Mi,8,9,,,,13,12,11
2016,7,28,Do,5,,,,14,15,,13
2016,7,29,Fr,4,6,,,,16,15,14
2016,8,1,Mo ,10,,,,1,2,16,
2016,8,2,Di,11,12,,,,3,2,1
2016,8,3,Mi,13,,,,8,9,3,
2016,8,4,Do,14,15,,,,5,8,9
2016,8,5,Fr,16,,,,4,6,5,
2016,8,8,Mo ,,,1,2,,10,4,6
2016,8,9,Di,,,3,,11,12,10,
2016,8,10,Mi,,,8,9,,13,11,12
2016,8,11,Do,,,5,,14,15,13,
2016,8,12,Fr,,,4,6,,16,14,15
2016,8,15,Mo,,,10,,1,2,,16
2016,8,16,Di,,,11,12,,3,1,2
2016,8,17,Mi,,,13,,8,9,,3
2016,8,18,Do,,,14,15,,5,9,8
2016,8,19,Fr,,,16,,4,6,,5
2016,8,22,Mo,1,2,,,,10,6,4
2016,8,23,Di,3,,,,11,12,,10
2016,8,24,Mi,8,9,,,,13,12,11
2016,8,25,Do,5,,,,14,15,,13
2016,8,26,Fr,4,6,,,,16,15,14
2016,8,29,Mo,10,,,,1,2,16,
2016,8,30,Di,11,12,,,,3,2,1
2016,8,31,Mi,13,,,,8,9,3,
2016,9,1,Do,14,15,,,,5,8,9
2016,9,2,Fr,16,,,,4,6,5,
2016,9,5,Mo ,,,1,2,,10,4,6
2016,9,6,Di,,,3,,11,12,10,
2016,9,7,Mi,,,8,9,,13,11,12
2016,9,8,Do,,,5,,14,15,13,
2016,9,9,Fr,,,4,6,,16,14,15
2016,9,12,Mo,,,10,,1,2,,16
2016,9,13,Di,,,11,12,,3,1,2
2016,9,14,Mi,,,13,,8,9,,3
2016,9,15,Do,,,14,15,,5,9,8
2016,9,16,Fr,,,16,,4,6,,5
2016,9,19,Mo,1,2,,,,10,6,4
2016,9,20,Di,3,,,,11,12,,10
2016,9,21,Mi,8,9,,,,13,12,11
2016,9,22,Do,5,,,,14,15,,13
2016,9,23,Fr,4,6,,,,16,15,14
2016,9,26,Mo,10,,,,1,2,16,
2016,9,27,Di,11,12,,,,3,2,1
2016,9,28,Mi,13,,,,8,9,3,
2016,9,29,Do,14,15,,,,5,8,9
2016,9,30,Fr,16,,,,4,6,5,
2016,10,4,Di,,,1,2,,10,4,6
2016,10,5,Mi,,,3,,11,12,10,
2016,10,6,Do,,,8,9,,13,11,12
2016,10,7,Fr,,,5,,14,15,13,
2016,10,8,Sa,,,4,6,,16,14,15
2016,10,10,Mo,,,10,,1,2,,16
2016,10,11,Di,,,11,12,,3,1,2
2016,10,12,Mi,,,13,,8,9,,3
2016,10,13,Do,,,14,15,,5,9,8
