grged,4,2016-01-02
grged,6,2016-01-02
bio,16,2016-01-02
gs,14,2016-01-02
ak,15,2016-01-02
grged,10,2016-01-04
bio,1,2016-01-04
bio,2,2016-01-04
ak,16,2016-01-04
grged,11,2016-01-05
grged,12,2016-01-05
bio,3,2016-01-05
gs,1,2016-01-05
ak,2,2016-01-05
grged,13,2016-01-06
bio,8,2016-01-06
bio,9,2016-01-06
ak,3,2016-01-06
grged,14,2016-01-07
grged,15,2016-01-07
bio,5,2016-01-07
gs,9,2016-01-07
ak,8,2016-01-07
grged,16,2016-01-08
bio,4,2016-01-08
bio,6,2016-01-08
ak,5,2016-01-08
grbld,1,2016-01-11
grbld,2,2016-01-11
bio,10,2016-01-11
gs,6,2016-01-11
ak,4,2016-01-11
grbld,3,2016-01-12
bio,11,2016-01-12
bio,12,2016-01-12
ak,10,2016-01-12
grbld,8,2016-01-13
grbld,9,2016-01-13
bio,13,2016-01-13
gs,12,2016-01-13
ak,11,2016-01-13
grbld,5,2016-01-14
bio,14,2016-01-14
bio,15,2016-01-14
ak,13,2016-01-14
grbld,4,2016-01-15
grbld,6,2016-01-15
bio,16,2016-01-15
gs,15,2016-01-15
ak,14,2016-01-15
grbld,10,2016-01-18
bio,1,2016-01-18
bio,2,2016-01-18
gs,16,2016-01-18
grbld,11,2016-01-19
grbld,12,2016-01-19
bio,3,2016-01-19
gs,2,2016-01-19
ak,1,2016-01-19
grbld,13,2016-01-20
bio,8,2016-01-20
bio,9,2016-01-20
gs,3,2016-01-20
grbld,14,2016-01-21
grbld,15,2016-01-21
bio,5,2016-01-21
gs,8,2016-01-21
ak,9,2016-01-21
grbld,16,2016-01-22
bio,4,2016-01-22
bio,6,2016-01-22
gs,5,2016-01-22
grged,1,2016-01-25
grged,2,2016-01-25
bio,10,2016-01-25
gs,4,2016-01-25
ak,6,2016-01-25
grged,3,2016-01-26
bio,11,2016-01-26
bio,12,2016-01-26
gs,10,2016-01-26
grged,8,2016-01-27
grged,9,2016-01-27
bio,13,2016-01-27
gs,11,2016-01-27
ak,12,2016-01-27
grged,5,2016-01-28
bio,14,2016-01-28
bio,15,2016-01-28
gs,13,2016-01-28
grged,4,2016-01-29
grged,6,2016-01-29
bio,16,2016-01-29
gs,14,2016-01-29
ak,15,2016-01-29
grged,10,2016-02-01
bio,1,2016-02-01
bio,2,2016-02-01
ak,16,2016-02-01
grged,11,2016-02-02
grged,12,2016-02-02
bio,3,2016-02-02
gs,1,2016-02-02
ak,2,2016-02-02
grged,13,2016-02-03
bio,8,2016-02-03
bio,9,2016-02-03
ak,3,2016-02-03
grged,14,2016-02-04
grged,15,2016-02-04
bio,5,2016-02-04
gs,9,2016-02-04
ak,8,2016-02-04
grged,16,2016-02-05
bio,4,2016-02-05
bio,6,2016-02-05
ak,5,2016-02-05
grbld,1,2016-02-08
grbld,2,2016-02-08
bio,10,2016-02-08
gs,6,2016-02-08
ak,4,2016-02-08
grbld,3,2016-02-09
bio,11,2016-02-09
bio,12,2016-02-09
ak,10,2016-02-09
grbld,8,2016-02-10
